asin,asn_arn,inbound_shipment_delivery_id,order_id,prep_performed,receive_process_path,receive_visibility_id,received_container_type,received_date_local,received_date_utc,received_on_day,received_qty,received_scannable_id,region_id,sscc_code,warehouse_id
B0019XWU2S,(null),9683147099,19MTTUOQ,0,LP-CASE-ITEMS,047E258E-9AB0-11E6-9899-20EA9F9C8A80,CASE,10/25/16,10/25/16,10/25/16,1,csXP23B8Dr8,1,9.47E+14,ABE2
B0019XWU2S,(null),9683147099,19MTTUOQ,0,LP-CASE-ITEMS,047E5AB8-9AB0-11E6-9899-20EA9F9C8A80,CASE,10/25/16,10/25/16,10/25/16,1,csXP23B8Dr8,1,9.47E+14,ABE2
B0019XWU2S,(null),9683147099,19MTTUOQ,0,LP-CASE-ITEMS,047E91F4-9AB0-11E6-9899-20EA9F9C8A80,CASE,10/25/16,10/25/16,10/25/16,1,csXP23B8Dr8,1,9.47E+14,ABE2
B0019XWU2S,(null),9683147099,19MTTUOQ,0,LP-CASE-ITEMS,047EC2FA-9AB0-11E6-9899-20EA9F9C8A80,CASE,10/25/16,10/25/16,10/25/16,1,csXP23B8Dr8,1,9.47E+14,ABE2
B0019XWU2S,(null),9683147099,19MTTUOQ,0,LP-CASE-ITEMS,047FF83C-9AB0-11E6-9899-20EA9F9C8A80,CASE,10/25/16,10/25/16,10/25/16,1,csXP23B8Dr8,1,9.47E+14,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C702C182-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C703AC0A-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C704671C-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C7049796-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
B007YX9O94,(null),9462607099,17RR83IH,0,LP-CASE-ITEMS,C704CC02-6306-11E6-B30D-CEB74C868727,CASE,8/15/16,8/15/16,8/15/16,1,csXP22yNZfb,1,6.20E+15,ABE2
